username,white_wins,black_wins
sam7neeee,0,3
sammybag101,0,3
samuelpro,2,3
sanchitkaushal,0,3
seanngo53,0,3
serial__chiller,2,3
sheik_yerbouti,1,3
shoshonte,1,3
singyoursong42,1,3
sollids,0,3
sp37578,1,3
svindled,0,3
szachysta,0,3
thebasicgru,2,3
thor92,0,3
tienc12345,1,3
timeisrelativ,1,3
titus369,2,3
total_chess,1,3
trashmaster,1,3
triskorg,2,3
trotil45,0,3
ucantcmeok,1,3
unicornz,2,3
v_clava38,2,3
waltersafarian,0,3
widja,1,3
wizard_nick,1,3
zoro94,2,3
2700172,1,2
8124524987,0,2
abcheck,0,2
accrochetaceinture,0,2
acidkat930,1,2
acsinteco,0,2
adhen,1,2
aidynnur,0,2
aimzzz,0,2
akmar,1,2
alandeejay,0,2
alefdz,0,2
aleff_blendon,0,2
alexey33,0,2
alfredgjoncari,1,2
alihan,0,2
amadofranco2016,1,2
amaury-larramona,0,2
anastasia_333,0,2
anatoliy287,0,2
anirban007,1,2
anos,0,2
antony056,0,2
arsib8989,0,2
artlncln66,0,2
assasin_creep,0,2
at70,0,2
axes,1,2
aynurr08,0,2
badrlamal,0,2
bartolomi,0,2
basaew,0,2
beingamin,0,2
benea,0,2
bishada,0,2
blablub,0,2
blueroja,0,2
brainiac007,0,2
budnii,0,2
bysns,0,2
canturkoguz,0,2
carneiro12,0,2
carson_wells,0,2
cederick,1,2
cemki22,0,2
centuri,0,2
charada,0,2
charlysunday,0,2
chases,1,2
checkmate3141,0,2
chess_pro_107,0,2
chessatnight,0,2
chessguy9002,0,2
chesspolio,0,2
chhaand,0,2
chiefjab,1,2
chiesu,1,2
clydefrog,0,2
cv1a,0,2
daerka,1,2
dan4ik941,0,2
danilasobolev,0,2
daniyal_rysaev,1,2
dantesmontecristo,0,2
darlibank,0,2
dasalvarp,0,2
dater,0,2
davidena,0,2
dgddgd,0,2
dijkstra,1,2
dinnei,1,2
dkazankov,0,2
dkgwby,0,2
dmarin5983,0,2
dnowchess,0,2
domyaty1953,0,2
dr_perdyllo,0,2
drmoeller,1,2
drunkbastard,0,2
dsalinas,0,2
duguesclin,0,2
eldiablo5,1,2
enialios,0,2
enoti222,0,2
enprise2,0,2
episode,0,2
evansimone,0,2
ezevereth,0,2
fabiodemarco,0,2
faridov,0,2
felipenestor01,0,2
fernholz,0,2
fingers33,0,2
flamingwind,0,2
fmshawnrl123,1,2
foucheval,0,2
foxman2010,0,2
frank01,1,2
galih88,0,2
gallosantoss,0,2
gambeet21,0,2
gelus,1,2
georg01,0,2
gerardfredj,0,2
gesoo,1,2
gharybeh,0,2
ghesah3000,0,2
gianflisi,1,2
gid,1,2
ginreck,0,2
gionabaldo,0,2
gioscorpi,0,2
glonnee,0,2
gordonshimm,1,2
granrob,0,2
grego77,0,2
grigoriy-66,1,2
guestpadawan,1,2
gunsti,0,2
hakanerkam,0,2
happycuber,0,2
hartonorahman,0,2
hephaestion,0,2
hft,0,2
hightwaytohell,0,2
hoktar,0,2
holyship,1,2
hooponopono,0,2
hunbee,0,2
hunecel,0,2
hungcuong,1,2
hvtd,0,2
indigo_chess,0,2
ioansanders,1,2
iranmat89,0,2
iwannabelikemike,0,2
iwikipedia,1,2
jackdahouse,0,2
janfrode,1,2
javadhajizadeh,0,2
jdominguez,0,2
jjplayz,0,2
jojack,0,2
jokijo2002,0,2
jore82,0,2
jourapoura,0,2
journey_to_nm,1,2
jposthuma,1,2
juozaskaz,1,2
jzcarr55,0,2
k-o-p-o-j-e-b-a,0,2
kasparov3000,0,2
kayvan0098,1,2
kerilka,0,2
khosro1340,0,2
kimmmmi060,0,2
kingfbh,1,2
koksalakdeniz,0,2
komgoo,0,2
kotbapkot,0,2
krish1991,0,2
kriss,0,2
krluch,0,2
kshaz,0,2
kylecuver1,0,2
lacrome,1,2
lajniko,0,2
lallabiga,0,2
landscaping123,1,2
lasttry,0,2
ledaua,1,2
legendaryherojuice,0,2
lespinet,0,2
li1chess,0,2
licko,0,2
lifchrs,1,2
llmagnusll,0,2
lopinnho2016,0,2
loveotsuu,0,2
ls,0,2
luandson,0,2
luckyshine123,1,2
lyca,1,2
mabrown86,1,2
madleotindas,0,2
maelic,0,2
magrabi,0,2
mahdi20014,0,2
maicon92,0,2
majid81,0,2
mamontidla,1,2
mansour99,0,2
marckflow,1,2
marcoajedrez,0,2
marikov,0,2
marshallow,0,2
martineden11,1,2
master_1955,0,2
maximus97,0,2
maxzep64,0,2
medanky64,1,2
meekrose,0,2
megamind20765,1,2
meoc,0,2
mhmtdrr,0,2
michael_hackett,1,2
microcommega,1,2
mimirilinguis,0,2
mohammadparham,0,2
morg1515,0,2
mr47,0,2
mr_pablo,0,2
mr_poleanu,0,2
mra_py,1,2
mysterious_expert,0,2
naderat65,0,2
nadinal,0,2
nekedisjo,0,2
nicimacar,0,2
nightdozorer,0,2
nikitachess,0,2
nitxcool,0,2
novato09,0,2
onedfour,0,2
onlysully,1,2
ox_brilliant,0,2
ozi,0,2
paavel02,1,2
pablog2200,1,2
pachiviris,1,2
pale-blue-dot,0,2
pankr,0,2
papanister,0,2
paparook,0,2
partiallyundead,1,2
partoazhdary11,0,2
pasch0s,1,2
paspalov,0,2
paulrizzi,1,2
pavvell,0,2
pedronev,1,2
penguin_lo,0,2
personalidad,0,2
picchiolu,0,2
plovediv_69,0,2
polydoro,0,2
poshgirl,0,2
powodzenia,0,2
prabhakarchand1,0,2
pramath91,0,2
premg,0,2
purg4tory,0,2
q_ban,1,2
quadrivium7,0,2
queops,0,2
quintinator,0,2
qxxxx,0,2
raf48,0,2
rafael_ludy,0,2
raking41,0,2
ramso101,0,2
raspoutine,0,2
raubstein,0,2
raysendeleo,0,2
realmadrid69,0,2
reda2345,0,2
rex99,0,2
reza-kondazi,0,2
riccovieira,0,2
riverroad,1,2
robertg6,0,2
robin512,0,2
rodny21,0,2
roso97,0,2
rowanriney,0,2
rustam9,1,2
ruysicilianlopez,1,2
sadlittleturtle,1,2
saladrocket,0,2
savalet97,0,2
scaccofelice,0,2
sergik91,0,2
sergipechess,1,2
sesh,0,2
si73,0,2
silasolveirasilva,0,2
slm_mhr,0,2
sorethea,1,2
soric,1,2
sosnovsky,1,2
spcwby,0,2
stylishplyr,1,2
sudebala,0,2
sunnyside41st,0,2
swaltersson,1,2
synadze,1,2
taborluna,1,2
tacticalwizard1,1,2
tambwe,0,2
tanganika,0,2
teachmeeee,0,2
temi4,0,2
thatmanlyllama,0,2
theblairloggie,1,2
thony-ghali,1,2
thor401025,0,2
thunder2008,0,2
tigersounak,1,2
tironislux,1,2
tjk125hqf,0,2
tokbora,0,2
tomtomchess,0,2
